Date,Average Temperature
1/1/2000,33.57
2/1/2000,39.78
3/1/2000,46.04
4/1/2000,52.59
5/1/2000,63.14
6/1/2000,69.03
7/1/2000,73.87
8/1/2000,74.05
9/1/2000,65.57
10/1/2000,55.09
11/1/2000,38.03
12/1/2000,28.44
1/1/2001,31.35
2/1/2001,33.98
3/1/2001,41.49
4/1/2001,53.08
5/1/2001,62.82
6/1/2001,69.24
7/1/2001,74.48
8/1/2001,74.3
9/1/2001,65.7
10/1/2001,54.37
11/1/2001,47.41
12/1/2001,36.12
1/1/2002,34.48
2/1/2002,36.39
3/1/2002,39.54
4/1/2002,53.49
5/1/2002,59.29
6/1/2002,70.86
7/1/2002,75.85
8/1/2002,72.86
9/1/2002,66.85
10/1/2002,51.84
11/1/2002,41.97
12/1/2002,35.08
1/1/2003,32.81
2/1/2003,32.79
3/1/2003,43.3
4/1/2003,51.89
5/1/2003,60.98
6/1/2003,68.05
7/1/2003,75.47
8/1/2003,74.66
9/1/2003,64.96
10/1/2003,56.55
11/1/2003,42.35
12/1/2003,35.29
1/1/2004,30.34
2/1/2004,33.57
3/1/2004,47.41
4/1/2004,52.68
5/1/2004,61.92
6/1/2004,68.09
7/1/2004,72.9
8/1/2004,70.16
9/1/2004,65.66
10/1/2004,55.36
11/1/2004,43.99
12/1/2004,35.06
1/1/2005,33.39
2/1/2005,37.94
3/1/2005,42.31
4/1/2005,52.27
5/1/2005,59.56
6/1/2005,69.21
7/1/2005,75.31
8/1/2005,73.2
9/1/2005,67.37
10/1/2005,55.38
11/1/2005,45.01
12/1/2005,32.7
1/1/2006,38.93
2/1/2006,34.83
3/1/2006,42.62
4/1/2006,55.26
5/1/2006,62.28
6/1/2006,70.75
7/1/2006,76.41
8/1/2006,73.4
9/1/2006,63.3
10/1/2006,52.59
11/1/2006,44.08
12/1/2006,36.57
1/1/2007,31.35
2/1/2007,32.41
3/1/2007,47.66
4/1/2007,50.54
5/1/2007,62.33
6/1/2007,69.87
7/1/2007,74.7
8/1/2007,74.64
9/1/2007,66.43
10/1/2007,56.68
11/1/2007,44.01
12/1/2007,33.22
1/1/2008,30.27
2/1/2008,34.7
3/1/2008,41.86
4/1/2008,50.4
5/1/2008,59.36
6/1/2008,69.6
7/1/2008,74.08
8/1/2008,72.28
9/1/2008,65.21
10/1/2008,53.98
11/1/2008,43.92
12/1/2008,31.87
1/1/2009,31.05
2/1/2009,36.77
3/1/2009,42.87
4/1/2009,50.92
5/1/2009,61.65
6/1/2009,68.54
7/1/2009,72.63
8/1/2009,71.89
9/1/2009,66.38
10/1/2009,50.5
11/1/2009,45.84
12/1/2009,29.64
1/1/2010,30.67
2/1/2010,31.8
3/1/2010,43.57
4/1/2010,53.24
5/1/2010,59.88
6/1/2010,70.48
7/1/2010,74.71
8/1/2010,74.05
9/1/2010,66.49
10/1/2010,56.14
11/1/2010,42.31
12/1/2010,32.47
1/1/2011,29.71
2/1/2011,33.04
3/1/2011,43.07
4/1/2011,51.96
5/1/2011,59.13
6/1/2011,69.82
7/1/2011,76.14
8/1/2011,75
9/1/2011,66.09
10/1/2011,55.09
11/1/2011,43.75
12/1/2011,35.4
1/1/2012,36.12
2/1/2012,37.51
3/1/2012,50.41
4/1/2012,54.68
5/1/2012,63.45
6/1/2012,70.54
7/1/2012,76.77
8/1/2012,73.8
9/1/2012,66.31
10/1/2012,53.89
11/1/2012,44.01
12/1/2012,35.92
1/1/2013,32.25
2/1/2013,34.77
3/1/2013,40.91
4/1/2013,49.68
5/1/2013,60.85
6/1/2013,70.39
7/1/2013,74.21
8/1/2013,72.99
9/1/2013,66.96
10/1/2013,53.44
11/1/2013,41.61
12/1/2013,31.06
1/1/2014,30.56
2/1/2014,32.13
3/1/2014,40.51
4/1/2014,51.69
5/1/2014,61.27
6/1/2014,69.58
7/1/2014,73.29
8/1/2014,72.25
9/1/2014,66.2
10/1/2014,56.93
11/1/2014,39.25
12/1/2014,36.81
1/1/2015,33.08
2/1/2015,32.99
3/1/2015,45.39
4/1/2015,53.24
5/1/2015,60.84
6/1/2015,71.37
7/1/2015,73.92
8/1/2015,72.95
9/1/2015,68.54
10/1/2015,57.24
11/1/2015,44.6
12/1/2015,38.66
1/1/2016,32.22
2/1/2016,39.47
3/1/2016,47.5
4/1/2016,53.19
5/1/2016,60.33
6/1/2016,71.76
7/1/2016,75.22
8/1/2016,73.53
9/1/2016,67.12
10/1/2016,57.72
11/1/2016,47.97
12/1/2016,32.95
1/1/2017,33.57
2/1/2017,41.18
3/1/2017,46.15
4/1/2017,53.8
5/1/2017,60.57
6/1/2017,70.36
7/1/2017,75.7
8/1/2017,72.01
9/1/2017,66.27
10/1/2017,55.69
11/1/2017,45.03
12/1/2017,34.29
1/1/2018,32.16
2/1/2018,35.51
3/1/2018,42.73
4/1/2018,49.03
5/1/2018,65.52
6/1/2018,71.55
7/1/2018,75.45
8/1/2018,73.51
9/1/2018,67.53
10/1/2018,53.71
11/1/2018,40.01
12/1/2018,35.51
1/1/2019,32.56
2/1/2019,31.84
3/1/2019,40.3
4/1/2019,52.84
5/1/2019,59.49
6/1/2019,68.7
7/1/2019,74.59
8/1/2019,73.74
9/1/2019,68.43
10/1/2019,52.05
11/1/2019,41.09
12/1/2019,36.43
1/1/2020,35.51
2/1/2020,36.14
3/1/2020,46.08
4/1/2020,50.86
5/1/2020,60.89
6/1/2020,70.29
7/1/2020,75.67
