Date,Steers: Med. #1 500-550 lb,Steers: Med. #1 600-650 lb,Steers: Med. #1 750-800 lb,Heifers: Med. #1 450-500 lb,Heifers: Med. #1 700-750 lb
1/1/2000,102.24,92.92,86.8,92.2,81.49
2/1/2000,107.64,94.63,83.81,97.55,79.95
3/1/2000,110.16,98.32,83.75,100.95,79.68
4/1/2000,104.82,96.18,84.15,99.82,80.17
5/1/2000,100.27,94.31,83.42,93.41,79.18
6/1/2000,100.62,95.29,86.72,95.26,83.18
7/1/2000,109.12,97.94,89.25,99.98,87.24
8/1/2000,100.27,94.34,85.85,93.21,82.25
9/1/2000,96,89.27,83.63,87.19,81.21
10/1/2000,94.08,89.47,85.96,88.71,82.2
11/1/2000,99.37,93.73,89.79,95.75,85.4
12/1/2000,100.43,95.29,90.53,96.24,84.76
1/1/2001,105.08,92.96,87.23,96.36,82.47
2/1/2001,107.23,97.64,86.05,100.24,82.24
3/1/2001,110.98,99.13,87.19,104.57,84.15
4/1/2001,110,103.93,89.29,103.98,84.65
5/1/2001,104.73,97.02,88,100.48,84.72
6/1/2001,106.89,98.87,91.13,102.01,88.67
7/1/2001,104.94,97.8,91.32,102.56,88.29
8/1/2001,102.39,95.38,90.43,95.33,86.7
9/1/2001,101.65,97.71,91.64,93.32,85.84
10/1/2001,95,88,88.02,87.13,83.29
11/1/2001,96.42,86.38,83.63,91.56,79.39
12/1/2001,103.17,89.3,84.44,93.58,79.77
1/1/2002,99.94,87.46,81.65,94.08,78.2
2/1/2002,104.11,90.12,82.04,95.31,78.09
3/1/2002,102.98,91.43,80.03,95.23,75.43
4/1/2002,97.96,92,77.33,90.5,73.36
5/1/2002,95.99,88.49,76.73,88.62,73.68
6/1/2002,90.76,83.73,76.81,83.3,73.44
7/1/2002,89.78,82.35,77.52,82.61,74.78
8/1/2002,87.89,83.99,78.68,81.08,76.44
9/1/2002,87.5,83.3,80.42,80.77,76.33
10/1/2002,89.71,83.81,80.47,82.97,77.2
11/1/2002,93.27,83.44,83.55,83.99,79.72
12/1/2002,96.09,85.97,85.22,85.93,81.91
1/1/2003,97.26,84.7,80.97,86.47,78.92
2/1/2003,97.83,84.74,78.16,89.77,75.18
3/1/2003,97.94,88.49,76.32,93.12,74.06
4/1/2003,97.2,86.87,79.15,90.84,75.52
5/1/2003,98.12,92.95,82.03,92.51,78.7
6/1/2003,102.21,92.52,86.3,95.08,84.76
7/1/2003,104.93,97.92,90.02,96.94,87.23
8/1/2003,103.12,98.73,93.34,93.59,91.29
9/1/2003,104.94,104.06,101.34,97.37,95
10/1/2003,109.41,104.04,104.46,102.79,98.94
11/1/2003,112.29,103.62,104.43,104.39,96.83
12/1/2003,111.98,103.88,101.63,99.92,94.07
1/1/2004,107.44,94.58,87.36,99.02,83.98
2/1/2004,111.19,97.36,86.61,101.86,82.45
3/1/2004,115.86,104.31,89.97,109.84,87.69
4/1/2004,118.27,106.96,95.68,110.67,91.29
5/1/2004,123.02,113.75,104.74,115.66,102.77
6/1/2004,126.07,121.19,113.31,123.09,108.37
7/1/2004,134.86,124.51,117.1,129.57,109.04
8/1/2004,130.31,122.28,116.73,123.83,112.04
9/1/2004,122.18,117.48,114.99,117.13,111.41
10/1/2004,124.89,115.13,114.61,118.89,109.56
11/1/2004,125.76,114.16,110.73,102.79,102.79
12/1/2004,124.73,109.73,105.24,117.15,99.68
1/1/2005,122.48,110.06,104.55,115.88,101.96
2/1/2005,129.66,115.5,101.97,121.43,97.95
3/1/2005,137.08,123.21,105.63,130.78,104.1
4/1/2005,135.34,125.47,111.44,130.39,106.51
5/1/2005,137.42,126.94,112.63,134.52,109.94
6/1/2005,135.43,124.6,116.02,120.7,110.69
7/1/2005,131.03,122.18,110.37,120.9,106.86
8/1/2005,132.45,117.95,111.74,122.73,105.05
9/1/2005,130.97,118.66,112.39,122.37,109.71
10/1/2005,128.51,117.64,114.22,121.19,110.21
11/1/2005,133.51,119.91,117.42,119.69,109.62
12/1/2005,132.35,119.03,112.9,126.5,109.52
1/1/2006,137.11,120.73,110.86,130.26,106.34
2/1/2006,136.86,121.71,105.51,130.51,101.94
3/1/2006,132.82,125.49,102.3,125.11,97.16
4/1/2006,132.39,121.81,99.1,123.05,95.3
5/1/2006,128.08,117.32,102.89,122.92,95.21
6/1/2006,130.69,121.79,110.24,123.08,105.58
7/1/2006,130.22,119.61,113.9,119.07,108.15
8/1/2006,129.66,121.39,114.01,121.17,109.32
9/1/2006,130.21,122.99,117.58,121.71,111.53
10/1/2006,122.96,110.49,107.97,114,103.35
11/1/2006,117.18,104.19,100.35,108.62,95.34
12/1/2006,119.25,104.63,100.99,108.9,96.14
1/1/2007,116.03,102.38,97.17,108.32,92.21
2/1/2007,121.16,111.3,97.5,109.89,93.16
3/1/2007,128.63,118.07,103.91,116.04,96.83
4/1/2007,128.4,123.63,107.91,115.52,100.83
5/1/2007,126.4,119.27,109.54,117.12,102.34
6/1/2007,125.87,114.65,109.15,113.95,102.3
7/1/2007,130.4,120.99,114,118.28,108.92
8/1/2007,126.17,122.67,115.88,119.19,111.36
9/1/2007,127.24,119.32,117.04,121.88,109.74
10/1/2007,120.67,113.24,111.26,108.3,106
11/1/2007,120.09,110.47,109.94,110.64,100.71
12/1/2007,120.67,109.7,105.43,114.17,98.99
1/1/2008,119.36,105.21,97.45,109.41,93.78
2/1/2008,122.86,113.16,102.89,110.53,97.05
3/1/2008,123.04,112.15,99.29,109.73,93.02
4/1/2008,120.81,110.9,102.29,107.59,95.18
5/1/2008,125.81,114.39,107.76,111.37,101.76
6/1/2008,119.95,113.55,109.74,106.2,102.48
7/1/2008,120.58,112.47,110.85,104.42,105.55
8/1/2008,120.88,114.07,112.78,107.84,108.68
9/1/2008,119.1,110.05,108.79,107.25,102.6
10/1/2008,108.44,97.82,96.54,95.91,89.01
11/1/2008,107.85,97.25,97.81,92.66,90.19
12/1/2008,99.37,90.42,89.51,86.11,82.89
1/1/2009,108.09,98.93,95.12,95.43,88.61
2/1/2009,111.11,101.65,93.37,100.03,86.85
3/1/2009,110.88,103.27,90.02,97.7,83.58
4/1/2009,117.33,107.47,98.31,105.07,91.52
5/1/2009,120.22,110.13,99.26,110.27,93.92
6/1/2009,110.74,103.75,98.34,100.59,93.87
7/1/2009,107.82,104.85,102.16,101.1,98.13
8/1/2009,109.17,104.23,99.81,102.26,95.37
9/1/2009,106.63,102.21,96.23,103.79,91.56
10/1/2009,108.37,95.44,93.78,94.95,88.01
11/1/2009,110.04,94.76,94.1,97.64,88.34
12/1/2009,109.54,96.01,93.13,95.56,86.09
1/1/2010,111.27,100.16,95.46,98.54,90.98
2/1/2010,118.83,109.3,98.29,108.3,94.37
3/1/2010,123.93,114.02,102.43,113.11,96.09
4/1/2010,132.78,124.2,112.54,121.59,106.53
5/1/2010,130.52,122.44,113.77,121.59,107.83
6/1/2010,129.5,117.51,111.64,118.72,104.56
7/1/2010,130.99,119.25,112.12,118.22,107.99
8/1/2010,123.66,117.4,113.74,115.44,108.36
9/1/2010,117.46,111.82,111,111.44,104.84
10/1/2010,117.78,110.49,109.26,107.06,102.05
11/1/2010,127.77,115.11,113.35,113.46,107
12/1/2010,138.45,123.06,118.04,119.54,111.59
1/1/2011,142.9,131.59,124.54,125.54,116.6
2/1/2011,157.07,144.08,128.37,138.62,121.3
3/1/2011,159.85,146.67,128.69,143.05,121.65
4/1/2011,153.12,145.04,131.46,144.57,124.94
5/1/2011,147.12,137.72,129.78,137.58,122.65
6/1/2011,140.69,134.45,132.03,131.37,122.64
7/1/2011,145.05,140.28,137.86,136.33,128.56
8/1/2011,143.21,139.64,135.24,131.69,125.41
9/1/2011,138.74,136.65,131.12,128.02,123.59
10/1/2011,147.23,142.14,138.64,133.28,126.56
11/1/2011,164.22,148.29,144.02,144.77,131.07
12/1/2011,165.89,148.41,143.12,146.77,135.03
1/1/2012,178.61,160.71,148.4,160.02,141.04
2/1/2012,189.03,174.13,155.58,175.53,143.94
3/1/2012,198.97,180.24,154.44,180.33,144.44
4/1/2012,192.07,169.9,148.04,170.84,137.59
5/1/2012,188.94,166.51,151,169.92,140.55
6/1/2012,179.71,164.86,151.12,162.37,142.04
7/1/2012,149.5,141.29,137.24,138.13,130.26
8/1/2012,157.2,143.03,137.26,141.86,130.64
9/1/2012,159.07,148.51,143.44,145.86,135.22
10/1/2012,166.12,148.27,142.08,150.12,132.17
11/1/2012,166.08,149.49,142.81,147.57,133.81
12/1/2012,162.05,151.28,145.32,148.17,138.04
1/1/2013,134.75,149.68,143.4,160.09,134.67
2/1/2013,178.88,158.09,141.77,163.4,136
3/1/2013,173.55,153.76,136.26,154.3,129.31
4/1/2013,166.05,153.56,134.4,147.69,127.01
5/1/2013,159.48,143.78,128.16,143.36,126.12
6/1/2013,165.24,146.43,136.75,142.06,131.2
7/1/2013,175.41,155.24,145.8,154.53,139.74
8/1/2013,180.69,162.54,152.83,160.15,143.13
9/1/2013,179.24,164.82,157.62,162.4,147.22
10/1/2013,188.16,169.87,159.36,174.33,151.77
11/1/2013,198.18,173.33,162.95,184.72,163.05
12/1/2013,196.58,174.96,162.75,177.85,154.22
1/1/2014,212.68,181.87,165.73,186.63,158.3
2/1/2014,210.19,187.56,164.31,190.6,153.15
3/1/2014,221.48,197.6,173.85,202.55,165.01
4/1/2014,220.45,204.01,177.96,207.27,170.95
5/1/2014,226.24,207.57,187.3,213.72,178.21
6/1/2014,244.42,223.82,200.67,232.77,199.08
7/1/2014,258.89,237.17,215.33,249.02,205.7
8/1/2014,273.93,239.92,218.8,258.3,209.99
9/1/2014,267.44,246.47,228.56,257.92,221.36
10/1/2014,289.6,251.18,238.8,268.27,224.74
11/1/2014,302.66,262.34,233.48,282.63,227.93
12/1/2014,296.38,261.32,230,290.23,225.43
1/1/2015,284.01,252.21,214.72,262.29,206.3
2/1/2015,276.06,243.09,205.83,256.88,195.33
3/1/2015,289.73,253.76,210.38,271.58,203.16
4/1/2015,287.08,252.78,214.31,274.14,204.26
5/1/2015,286.41,251.96,216.07,272.6,205.21
6/1/2015,283.19,252.55,226.92,268.08,213.86
7/1/2015,254,237.21,213.15,240,198.29
8/1/2015,247.21,227.98,212.07,240.97,201.26
9/1/2015,223.08,201.07,194.2,210.57,191.16
10/1/2015,217.42,194.04,190.12,196.65,179.21
11/1/2015,211.96,185.03,176.8,186.51,165.01
12/1/2015,194.28,166.51,153.86,166.29,143.97
1/1/2016,199.02,173.76,157.3,177.92,150.9
2/1/2016,197.03,176.94,153.67,182.7,144.58
3/1/2016,199.94,183.4,156.5,181.77,148
4/1/2016,184.62,171.89,150.81,164.67,142.16
5/1/2016,175.05,160.77,146.26,167.32,138.03
6/1/2016,160.55,151.59,142.4,148.73,134.07
7/1/2016,156.52,148.93,143.06,148.26,135.85
8/1/2016,155.38,151.2,144.82,143.14,137.28
9/1/2016,144.4,138.38,134.08,137.69,130.53
10/1/2016,133.09,121.82,123.5,116.25,120.43
11/1/2016,151.12,131.47,129.6,131.16,123.63
12/1/2016,146.09,131.13,130.73,132.46,127.22
1/1/2017,160.28,139.66,130.3,137.81,123.49
2/1/2017,161.06,143.85,127.36,142.43,119.96
3/1/2017,159.87,146.83,131.01,143.9,123.83
4/1/2017,171.22,157.34,139.27,149.66,129.5
5/1/2017,173.05,162.42,147.86,160.42,138.49
6/1/2017,175.77,167.21,155.03,156.41,131.47
7/1/2017,168.51,160.1,150.06,151.05,140.92
8/1/2017,165.82,155.26,142.75,147.3,137.52
9/1/2017,163.92,159.15,151.56,150.77,144.58
10/1/2017,170.32,156.49,156.05,157.57,146.16
11/1/2017,176.84,162.49,158.18,154.51,150.88
12/1/2017,174.36,158.98,150.4,152.21,143.92
1/1/2018,179.89,160.74,148.67,156.64,137.92
2/1/2018,180.4,165.86,148.65,167.96,137.57
3/1/2018,179.27,162.14,141.55,159.65,133.66
4/1/2018,176.24,164.59,146.51,160.8,132.61
5/1/2018,172.96,161.42,139.89,151.3,127.39
6/1/2018,168.54,158.64,142.76,156.06,132.71
7/1/2018,163.96,160.19,148.82,158.71,141.4
8/1/2018,168.86,164.84,150.84,155.98,142.57
9/1/2018,169.54,161.43,151.72,163.65,143.44
10/1/2018,174.08,155.93,155.41,148.57,144.58
11/1/2018,170.69,147.92,146.52,153.25,139.77
12/1/2018,168.28,146.72,141.78,147.05,136.18
1/1/2019,169.11,150.66,143.14,147.92,132.58
2/1/2019,178.71,155.84,139.2,152.56,130.31
3/1/2019,178.67,160.74,139.95,156.15,130.95
4/1/2019,182.99,168.33,146.72,162.62,132.9
5/1/2019,174.9,163.55,139.26,162.7,128.93
6/1/2019,161,149.34,135.56,149.37,123.81
7/1/2019,162.39,154.18,141.73,144.03,132.87
8/1/2019,155.56,148.54,138.63,143.41,129.92
9/1/2019,149.65,147,140.21,137.19,129.64
10/1/2019,157.72,151.03,146.85,137.91,137.99
11/1/2019,159.26,147.18,146.5,140.15,140.4
12/1/2019,165.3,147.46,148.96,144.01,137.21
1/1/2020,171.5,150.95,144.36,154.62,132.23
2/1/2020,178.04,156.51,138.01,155.56,126.7
3/1/2020,163.88,147.47,126.9,153.84,113.29
4/1/2020,153.88,141.01,121.11,142.03,108.72
5/1/2020,155.51,143.71,127.23,142.25,115.51
6/1/2020,151.62,144.82,130.78,141.03,119.94
,157.79,150.13,139.2,144.13,129.91
